epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,135.134,1.71648,1.57761,0.98012,0.27631,0.22078,0.16836,0.09237,1.59504,1.34217,0.93954,0.00033251,0.00033251,0.0670815
2,267.358,1.6363,1.28732,0.94873,0.34027,0.26644,0.2199,0.12022,1.56488,1.22191,0.93042,0.000643871,0.000643871,0.0340595
3,398.096,1.62328,1.25244,0.9405,0.35416,0.28737,0.23721,0.1304,1.53223,1.18048,0.92759,0.000933231,0.000933231,0.00101554
4,528.867,1.58856,1.21641,0.93353,0.34463,0.28349,0.23825,0.13378,1.51719,1.19116,0.92317,0.000901,0.000901,0.000901
5,658.882,1.56499,1.17045,0.9275,0.39765,0.30106,0.26541,0.14741,1.4903,1.10461,0.91472,0.000868,0.000868,0.000868
6,789.246,1.55424,1.14773,0.92125,0.40159,0.31751,0.27977,0.15731,1.50037,1.09042,0.91983,0.000835,0.000835,0.000835
7,919.345,1.52827,1.11836,0.9188,0.41648,0.3121,0.28354,0.15791,1.46824,1.07809,0.90783,0.000802,0.000802,0.000802
8,1049.58,1.52259,1.10578,0.9131,0.43403,0.32302,0.30213,0.17212,1.44496,1.05879,0.90639,0.000769,0.000769,0.000769
9,1179.82,1.49765,1.07962,0.91092,0.43249,0.3248,0.30081,0.16908,1.44388,1.06361,0.90386,0.000736,0.000736,0.000736
10,1309.76,1.50028,1.07232,0.9088,0.42049,0.33588,0.3079,0.17543,1.42992,1.03476,0.90326,0.000703,0.000703,0.000703
11,1439.61,1.48008,1.05109,0.90455,0.40626,0.33442,0.29867,0.16762,1.43554,1.0527,0.89934,0.00067,0.00067,0.00067
12,1569.91,1.48421,1.04373,0.90196,0.43762,0.34073,0.31425,0.17757,1.41797,1.03187,0.89858,0.000637,0.000637,0.000637
13,1699.49,1.46407,1.03309,0.90159,0.44201,0.34604,0.32186,0.18196,1.41079,1.0127,0.8973,0.000604,0.000604,0.000604
14,1829.21,1.44911,1.01666,0.89844,0.45566,0.34976,0.32407,0.18379,1.40574,1.01009,0.8918,0.000571,0.000571,0.000571
15,1959.82,1.44844,0.99901,0.89461,0.45891,0.35538,0.33076,0.18807,1.39719,0.99606,0.89045,0.000538,0.000538,0.000538
16,2091.76,1.4399,0.99602,0.89281,0.45147,0.3626,0.33522,0.19177,1.38617,1.00278,0.89026,0.000505,0.000505,0.000505
17,2222.16,1.43876,0.9922,0.89202,0.46424,0.36303,0.34588,0.1957,1.3933,0.97904,0.89281,0.000472,0.000472,0.000472
18,2352.73,1.43284,0.98388,0.89315,0.47174,0.36402,0.34666,0.19715,1.38006,0.98336,0.89011,0.000439,0.000439,0.000439
19,2482.44,1.41803,0.97036,0.88853,0.47466,0.37181,0.35462,0.20191,1.37126,0.97238,0.88737,0.000406,0.000406,0.000406
20,2612.92,1.41449,0.95856,0.88849,0.47384,0.36614,0.35041,0.19845,1.38407,0.96532,0.88931,0.000373,0.000373,0.000373
21,2737.13,1.36219,0.92694,0.89053,0.47422,0.36553,0.34723,0.19804,1.38601,0.96953,0.88895,0.00034,0.00034,0.00034
22,2860.44,1.35119,0.91078,0.88775,0.48032,0.3683,0.3514,0.20064,1.37724,0.96178,0.88727,0.000307,0.000307,0.000307
23,2983.78,1.34933,0.89967,0.88633,0.48529,0.36871,0.35739,0.20414,1.37072,0.95684,0.88627,0.000274,0.000274,0.000274
24,3106.66,1.33873,0.88733,0.88333,0.49202,0.36986,0.35624,0.20459,1.35976,0.95264,0.88314,0.000241,0.000241,0.000241
25,3229.78,1.32765,0.88126,0.88169,0.50505,0.36365,0.36039,0.20762,1.35583,0.94892,0.88383,0.000208,0.000208,0.000208
26,3353.17,1.32,0.86938,0.88093,0.49281,0.37797,0.36519,0.21024,1.35443,0.94017,0.88291,0.000175,0.000175,0.000175
27,3476.83,1.3144,0.8595,0.87915,0.5028,0.37906,0.36905,0.21209,1.34913,0.93113,0.88102,0.000142,0.000142,0.000142
28,3599.86,1.31083,0.85476,0.87779,0.49095,0.38375,0.36968,0.21397,1.34273,0.92735,0.87997,0.000109,0.000109,0.000109
29,3722.69,1.29672,0.83957,0.87648,0.49366,0.37924,0.36679,0.21231,1.3429,0.92723,0.87945,7.6e-05,7.6e-05,7.6e-05
30,3845.9,1.29321,0.83307,0.8739,0.49626,0.38311,0.37096,0.21488,1.33578,0.92074,0.87908,4.3e-05,4.3e-05,4.3e-05
